GSMID,tissue1,tissue2,tissue3,Tissue,disease1,disease2,disease3,Disease,Genotype
GSM770100,Intestine,Large intestine,Colorectum,Colorectum,Developmental anomalies,Dysplasia,,Dysplasia,Genotype unknown
GSM770101,Intestine,Large intestine,Colorectum,Colorectum,Developmental anomalies,Dysplasia,,Dysplasia,Genotype unknown
GSM770102,Intestine,Large intestine,Colorectum,Colorectum,Developmental anomalies,Dysplasia,,Dysplasia,Genotype unknown
GSM770103,Intestine,Large intestine,Colorectum,Colorectum,Developmental anomalies,Dysplasia,,Dysplasia,Genotype unknown
GSM770104,Intestine,Large intestine,Colorectum,Colorectum,Developmental anomalies,Dysplasia,,Dysplasia,Genotype unknown
GSM770105,Intestine,Large intestine,Colorectum,Colorectum,Developmental anomalies,Dysplasia,,Dysplasia,Genotype unknown
GSM770106,Intestine,Large intestine,Colorectum,Colorectum,Developmental anomalies,Dysplasia,,Dysplasia,Genotype unknown
GSM866888,Brain,Brain,,Brain,Developmental anomalies,Neuronal migration defects,,Neuronal migration defects,Lis1 ko/cko
GSM866889,Brain,Brain,,Brain,Developmental anomalies,Neuronal migration defects,,Neuronal migration defects,Lis1 ko/cko
GSM866890,Brain,Brain,,Brain,Developmental anomalies,Neuronal migration defects,,Neuronal migration defects,Lis1 ko/cko
GSM866897,Brain,Brain,,Brain,Developmental anomalies,Neuronal migration defects,,Neuronal migration defects,Ndel heterozygote
GSM866898,Brain,Brain,,Brain,Developmental anomalies,Neuronal migration defects,,Neuronal migration defects,Ndel heterozygote
GSM866899,Brain,Brain,,Brain,Developmental anomalies,Neuronal migration defects,,Neuronal migration defects,Ndel heterozygote
GSM866906,Brain,Brain,,Brain,Developmental anomalies,Neuronal migration defects,,Neuronal migration defects,Ndel heterozygote
